CP,Colonia,RACH-F,RAN-F,RAT-F,RDV-F,RCV-F,RACH-S,RAN-S,RAT-S,RDV-S,RCV-S,Fecha
37289,Guadalupe,0,6,0,0,0,0,0,0,0,0,1/2025
37685,Guadalupe Victoria,0,0,0,0,0,0,0,0,0,0,1/2025
37219,Habitacional Coecillo,0,0,0,0,0,0,0,0,0,0,1/2025
37289,Hacienda Bugambilias,0,0,0,0,0,0,0,0,0,0,1/2025
37547,Hacienda de Alba,0,0,0,0,0,0,0,0,0,0,1/2025
37696,Hacienda de Arriba (San José de La Concepción),0,0,0,0,0,0,0,0,0,0,1/2025
37238,Hacienda de Guadalupe,0,0,0,0,0,0,0,0,0,0,1/2025
37238,Hacienda de los Naranjos,0,0,0,0,0,0,0,0,0,0,1/2025
37170,Hacienda del Campestre,0,0,0,0,0,0,0,0,0,0,1/2025
37100,Hacienda Echeveste,2,0,0,0,0,0,0,0,0,0,1/2025
37417,Hacienda las Mandarinas,0,0,0,0,0,0,0,0,0,0,1/2025
37295,Hacienda Los Otates,0,0,0,0,0,0,0,0,0,0,1/2025
37296,Hacienda San Ángel,0,0,0,0,0,0,0,0,0,0,1/2025
37548,Hacienda San José,0,0,0,0,0,0,0,0,0,0,1/2025
37235,Hacienda San Miguel,0,0,0,0,0,0,0,0,0,0,1/2025
37235,Hacienda Santa Catalina,0,0,0,0,0,0,0,0,0,0,1/2025
37296,Hacienda Santa Fe,0,0,0,0,0,0,0,0,0,0,1/2025
37669,Hacienda Valbuena,0,0,0,0,0,0,0,0,0,0,1/2025
37207,Haciendas de Ibarrilla,0,2,0,0,0,0,0,0,0,0,1/2025
37179,Haciendas del Carmen,0,0,0,0,0,0,0,0,0,0,1/2025
37179,Haciendas del Carmen II,0,0,0,0,0,0,0,0,0,0,1/2025
37118,Hernández Rougon,0,0,0,0,0,0,0,0,0,0,1/2025
37190,Héroes de Chapultepec,2,0,0,0,0,0,0,0,0,0,1/2025
37220,Hidalgo,0,0,0,0,0,0,0,0,0,0,1/2025
37204,Hidalgo del Valle,2,0,0,0,0,0,0,0,0,0,1/2025
37358,Horizonte Azul,0,0,0,0,0,0,0,0,0,0,1/2025
37238,Huertas de Medina,0,0,0,0,0,0,0,0,0,0,1/2025
37677,Ibarrilla,0,0,0,0,0,0,0,0,0,0,1/2025
37683,Ignacio Zaragoza,0,0,0,0,0,0,0,0,0,0,1/2025
